Date,Open,High,Low,Close,Volume
2019-09-03,88.5,90.04,88.4,89.49,70937184
2019-09-04,90.25,90.38,89.81,90.03,46524560
2019-09-05,91.1,92.1,90.78,92.04,66503780
2019-09-06,91.91,92.03,91.32,91.68,49938660
2019-09-09,92.05,92.5,91.23,91.57,59990300
2019-09-10,91.14,91.29,90.27,91.03,52277580
2019-09-11,90.61,91.67,90.45,91.15,48655340
2019-09-12,91.88,92.68,91.71,92.18,56470100
2019-09-13,92.1,92.31,91.76,91.97,39426340
2019-09-16,91.2,91.28,90.01,90.39,73509456
2019-09-17,90.35,91.2,90.2,91.13,40661160
2019-09-18,90.85,91.1,89.78,90.87,50720240
2019-09-19,91.05,91.63,90.89,91.08,41566700
2019-09-20,91.09,91.53,89.05,89.71,111116784
2019-09-23,88.85,89.64,88.37,89.27,62782840
2019-09-24,89.53,89.79,86.78,87.08,92758016
2019-09-25,87.37,88.65,86.15,88.42,70621960
2019-09-26,88.14,88.17,86.58,86.99,71439040
2019-09-27,87.4,87.46,85.69,86.27,78960576
2019-09-30,86.35,86.87,85.46,86.8,55215360
2019-10-01,87.3,87.78,86.42,86.78,63409200
2019-10-02,86.39,86.44,85.25,85.66,66769520
2019-10-03,85.65,86.25,84.25,86.22,72487424
2019-10-04,86.3,87.03,85.96,86.98,49785540
2019-10-07,86.58,87.39,86.19,86.63,43751960
2019-10-08,86.12,86.35,85.25,85.28,52536800
2019-10-09,85.98,86.5,85.72,86.1,41786700
2019-10-10,86.26,86.91,85.69,86.01,54430620
2019-10-11,87.15,87.27,86.49,86.6,65590680
2019-10-14,86.45,87.09,86.1,86.82,38577960
2019-10-15,87.11,88.82,87.03,88.37,62584880
2019-10-16,88.67,89.31,88.53,88.87,56081360
2019-10-17,89.82,89.94,89.1,89.37,54275460
2019-10-18,89.39,89.7,87.46,87.88,67321824
2019-10-21,88.48,89.29,88.25,89.28,44498040
2019-10-22,89.41,89.49,88.1,88.29,44688500
2019-10-23,88.06,88.5,87.1,88.11,43807600
2019-10-24,88.55,89.42,88.01,89.04,104087000
2019-10-25,84.88,88.21,84.75,88.07,192528032
2019-10-28,87.4,88.94,87.12,88.85,74177024
2019-10-29,88.74,88.85,87.79,88.14,45537100
2019-10-30,88.01,89.12,87.96,89.0,48988100
2019-10-31,88.8,89.6,88.57,88.83,55623700
2019-11-01,89.4,89.87,89.26,89.57,55807080
2019-11-04,90.05,90.75,90.05,90.23,55438440
2019-11-05,90.46,90.51,89.7,90.09,37710860
2019-11-06,90.05,90.12,89.43,89.79,40595660
2019-11-07,90.19,90.3,89.17,89.41,53021720
2019-11-08,89.39,89.49,88.7,89.29,42523960
2019-11-11,88.9,89.0,88.36,88.58,38956200
2019-11-12,88.73,89.31,88.6,88.9,40778500
2019-11-13,88.67,88.75,87.37,87.66,58537840
2019-11-14,87.57,88.33,87.48,87.73,45388340
2019-11-15,88.0,88.08,86.64,86.97,78622816
2019-11-18,86.92,87.69,86.14,87.63,56838140
2019-11-19,87.85,88.03,87.15,87.64,45490700
2019-11-20,87.46,88.13,86.71,87.28,55875180
2019-11-21,87.15,87.34,86.52,86.74,53258760
2019-11-22,86.95,87.32,86.55,87.29,49581620
2019-11-25,87.66,88.87,87.66,88.69,69789344
2019-11-26,89.0,89.85,88.92,89.85,63808560
2019-11-27,90.05,91.22,89.87,90.93,60716920
2019-11-29,90.89,91.23,90.04,90.04,38468800
2019-12-02,90.22,90.28,88.13,89.08,78635000
2019-12-03,88.0,88.64,87.36,88.5,70591640
2019-12-04,88.7,89.45,88.01,88.03,53614000
2019-12-05,88.17,88.17,87.0,87.02,56557040
2019-12-06,87.56,87.72,87.01,87.58,62399580
2019-12-09,87.53,88.34,87.28,87.48,50049780
2019-12-10,87.37,87.53,86.75,86.96,50312880
2019-12-11,87.08,87.5,86.79,87.44,42026360
2019-12-12,87.5,88.2,87.27,88.02,62078980
2019-12-13,88.25,88.45,87.75,88.05,54958180
2019-12-16,88.35,88.47,87.85,88.46,62986900
2019-12-17,88.9,89.6,88.87,89.53,72933936
2019-12-18,89.75,89.91,89.12,89.2,67082740
2019-12-19,89.03,89.65,88.7,89.61,54766400
2019-12-20,89.98,90.15,89.12,89.33,103049200
2019-12-23,89.41,89.65,89.23,89.65,42749860
2019-12-24,89.69,89.78,89.38,89.46,17626740
