Date,Open,High,Low,Close,Volume
2019-09-03,184.0,185.67,182.11,182.39,9792187
2019-09-04,184.65,187.75,183.89,187.14,11314571
2019-09-05,188.53,191.36,187.94,190.9,13896621
2019-09-06,190.21,190.21,186.35,187.49,15226820
2019-09-09,187.73,188.98,185.85,188.76,14722402
2019-09-10,187.44,188.1,184.55,186.17,15455867
2019-09-11,186.46,189.44,186.08,188.49,11761660
2019-09-12,189.86,190.93,187.23,187.47,11419775
2019-09-13,187.32,187.97,186.54,187.19,11441116
2019-09-16,186.93,187.79,185.76,186.22,8444844
2019-09-17,186.66,188.32,185.54,188.08,9751570
2019-09-18,188.09,189.08,186.01,188.14,9945798
2019-09-19,188.66,191.1,188.15,190.14,10474685
2019-09-20,190.66,193.1,188.12,189.93,20359878
2019-09-23,189.34,190.1,185.21,186.82,14370089
2019-09-24,187.98,188.04,180.39,181.28,18775666
2019-09-25,181.45,183.42,177.87,182.8,18339960
2019-09-26,181.33,181.4,177.67,180.11,16280691
2019-09-27,180.49,180.75,175.66,177.1,14663575
2019-09-30,177.87,178.67,176.85,178.08,11071425
2019-10-01,179.15,179.84,174.88,175.81,17261556
2019-10-02,174.84,176.53,173.09,174.6,16374148
2019-10-03,175.57,179.84,173.63,179.38,16789320
2019-10-04,179.55,180.98,178.1,180.45,10476395
2019-10-07,180.0,181.18,178.09,179.68,9359793
2019-10-08,178.26,180.37,177.72,177.75,10084896
2019-10-09,179.16,180.72,177.94,179.85,7648874
2019-10-10,180.32,181.61,179.17,180.03,8980978
2019-10-11,182.15,186.49,182.14,184.19,14998754
2019-10-14,184.2,184.62,182.57,183.28,7203665
2019-10-15,183.8,190.38,183.66,188.89,15143119
2019-10-16,188.32,189.7,186.9,189.55,10560343
2019-10-17,190.3,190.84,188.76,190.39,9761548
2019-10-18,190.23,191.49,183.92,185.85,16882862
2019-10-21,187.04,189.91,186.75,189.76,8580744
2019-10-22,190.0,190.65,181.5,182.34,19854192
2019-10-23,182.01,186.38,182.0,186.15,12370819
2019-10-24,184.62,186.73,182.8,186.38,11505406
2019-10-25,185.83,189.0,185.09,187.89,8061240
2019-10-28,187.2,189.53,185.08,189.4,13657866
2019-10-29,191.69,192.53,188.47,189.31,13574874
2019-10-30,189.56,190.45,185.98,188.25,28734560
2019-10-31,196.7,198.09,188.25,191.65,42286528
2019-11-01,192.85,194.11,189.91,193.62,21711828
2019-11-04,194.55,197.37,193.81,194.72,16371292
2019-11-05,195.37,195.75,193.6,194.32,9941954
2019-11-06,194.03,194.37,191.35,191.55,10973019
2019-11-07,191.91,193.44,189.47,190.42,13472998
2019-11-08,190.0,192.34,189.7,190.84,10764784
2019-11-11,189.93,190.08,188.54,189.61,8637768
2019-11-12,190.0,195.06,189.74,194.47,17615454
2019-11-13,194.7,195.7,192.74,193.19,11009800
2019-11-14,192.93,194.03,191.45,193.15,9059897
2019-11-15,194.26,195.3,193.38,195.1,11530232
2019-11-18,194.56,198.63,193.05,197.4,16176107
2019-11-19,197.4,200.0,196.86,199.32,19070292
2019-11-20,198.58,199.59,195.43,197.51,12370240
2019-11-21,197.42,199.09,196.86,197.93,12130985
2019-11-22,198.38,199.3,197.62,198.82,9959817
2019-11-25,199.51,200.97,199.25,199.79,15286442
2019-11-26,200.0,200.15,198.04,198.97,11748664
2019-11-27,199.9,203.14,199.42,202.0,12760568
2019-11-29,201.6,203.8,201.21,201.64,7985231
2019-12-02,202.13,202.18,198.05,199.7,11542020
2019-12-03,197.6,198.93,195.08,198.82,13014170
2019-12-04,200.0,200.03,198.05,198.71,8459939
2019-12-05,199.86,201.29,198.21,199.36,9755350
2019-12-06,200.5,201.57,200.06,201.05,12279525
2019-12-09,200.65,203.14,200.21,201.34,12013218
2019-12-10,201.66,202.05,200.15,200.87,9485568
2019-12-11,200.28,202.63,200.28,202.26,8041827
2019-12-12,202.35,203.66,194.1,196.75,23766986
2019-12-13,196.4,196.8,193.17,194.11,18806020
2019-12-16,195.27,199.12,194.81,197.92,14922733
2019-12-17,198.84,199.0,196.13,198.39,10177605
2019-12-18,200.09,204.3,200.09,202.5,23284746
2019-12-19,202.78,206.3,202.51,206.06,16808184
2019-12-20,207.48,207.71,203.43,206.3,27315226
2019-12-23,206.7,208.59,205.68,206.18,13353194
2019-12-24,206.3,206.79,205.0,205.12,6046273
2019-12-26,205.57,207.82,205.31,207.79,9368273
2019-12-27,208.67,208.93,206.59,208.1,10287634
2019-12-30,207.86,207.9,203.9,204.41,10534441
2019-12-31,204.0,205.56,203.6,205.25,8962756
2020-01-02,206.75,209.79,206.27,209.78,12090707
2020-01-03,207.21,210.4,206.95,208.67,11197416
2020-01-06,206.7,212.78,206.52,212.6,17073860
2020-01-07,212.82,214.58,211.75,213.06,15111857
2020-01-08,213.0,216.24,212.61,215.22,13492703
2020-01-09,217.54,218.38,216.28,218.3,12679579
2020-01-10,219.2,219.88,217.42,218.06,12127432
2020-01-13,219.6,221.97,219.21,221.91,14494517
2020-01-14,221.61,222.38,218.63,219.06,13315361
2020-01-15,220.61,221.68,220.14,221.15,10036475
2020-01-16,222.57,222.63,220.39,221.77,10015288
2020-01-17,222.03,222.29,220.53,222.14,15905944
2020-01-21,222.16,222.37,219.12,221.44,14275784
2020-01-22,222.31,222.75,221.28,221.32,12212814
2020-01-23,220.75,221.49,219.27,219.76,11195000
2020-01-24,220.8,221.78,216.11,217.94,11905824
2020-01-27,213.1,216.06,212.5,214.87,13810655
2020-01-28,216.14,218.74,213.52,217.79,13413835
2020-01-29,221.44,224.2,218.45,223.23,33610004
2020-01-30,206.53,211.43,204.75,209.53,48775500
2020-01-31,208.43,208.69,201.06,201.91,31359916
2020-02-03,203.44,205.14,202.5,204.19,15510509
2020-02-04,206.62,210.6,205.2,209.83,19628890
2020-02-05,212.51,212.73,208.71,210.11,12538154
2020-02-06,210.47,211.19,209.34,210.85,10567533
2020-02-07,210.3,212.82,209.93,212.33,12242530
2020-02-10,211.52,213.8,210.66,213.06,11856350
2020-02-11,210.19,210.86,206.51,207.19,25030810
2020-02-12,207.85,211.22,207.4,210.76,13813704
2020-02-13,209.52,214.33,209.18,213.14,15396625
2020-02-14,214.0,214.93,212.65,214.18,10741747
2020-02-18,213.55,217.97,213.4,217.8,15630026
2020-02-19,217.99,218.32,216.11,217.49,12135114
2020-02-20,216.52,218.76,212.94,214.58,13109213
2020-02-21,213.48,214.24,208.83,210.18,14098432
2020-02-24,201.8,203.65,198.17,200.72,23080056
2020-02-25,202.25,203.5,195.95,196.77,21433488
2020-02-26,197.19,201.21,195.49,197.2,16555210
2020-02-27,191.82,195.88,189.5,189.75,21682626
2020-02-28,182.69,192.74,181.82,192.47,32583494
2020-03-02,194.03,196.57,188.85,196.44,24948956
2020-03-03,196.22,197.24,183.97,185.89,27984104
2020-03-04,189.17,191.83,186.39,191.76,23062472
2020-03-05,186.78,188.99,183.89,185.17,19333424
2020-03-06,178.33,183.78,176.26,181.09,24559550
2020-03-09,169.6,175.0,165.19,169.5,29949040
2020-03-10,174.67,178.29,169.5,178.19,24517792
2020-03-11,174.01,175.88,167.66,170.24,20397204
2020-03-12,159.54,166.6,154.34,154.47,43266336
2020-03-13,163.53,170.79,157.6,170.28,35028628
2020-03-16,152.32,159.13,143.1,146.01,39120420
2020-03-17,150.74,153.94,140.0,149.42,34255596
2020-03-18,139.75,148.18,137.1,146.96,37553136
2020-03-19,146.62,159.93,144.8,153.13,39862312
2020-03-20,156.02,159.27,148.0,149.73,32568398
2020-03-23,149.66,152.31,142.25,148.1,29830764
2020-03-24,155.21,161.31,152.57,160.98,30440368
2020-03-25,158.92,162.99,153.06,156.21,35184272
2020-03-26,158.25,164.0,157.02,163.34,26579020
2020-03-27,158.2,160.09,154.75,156.79,24879868
2020-03-30,159.18,166.75,158.06,165.95,22515224
2020-03-31,165.48,170.93,164.2,166.8,23676284
2020-04-01,161.62,164.15,158.03,159.6,19507560
2020-04-02,159.1,161.35,155.92,158.19,20886308
2020-04-03,157.15,157.91,150.83,154.18,25983316
2020-04-06,160.15,166.2,158.51,165.55,28453580
